date,India,France,Africa,US,China,UK,Red Cross,GOP,WHO,UN,left wing,right wing,communist,socialist,republican(US),democrat(US),labour(UK),conservative(UK),ICU,vaccination,maoist,christian,muslim,islamic,ministry of justice,ministry of health,senate,congress,woman,rebel,native,prime minister,chief,mayor,Xi Jinping,Donald Trump,Joe Biden,Emmanuel Macron,Narendra Modi,Vladimir Putin,global health,public health,one health,decolonization in health policy,decolonization
201601,0.2,0.03125,0.486486486,0.0375,0.090909091,0.380952381,0.076923077,0.43956044,0.232142857,0.30952381,0.333333333,0.222222222,0.303571429,0.411764706,0.35483871,0.35483871,0.043010753,0.037974684,0.063291139,0.020408163,0.137254902,0.538461538,0.545454545,0.222222222,0.302325581,0,0.021276596,0.24137931,0.22,0.285714286,0.082191781,0.111111111,0.166666667,0.2,0.040816327,0.095477387,0.005025126,0.015075377,0.051546392,0.051546392,0.267605634,0.109589041,0.125,0,0.389628591
201602,0.244444444,0.046875,0.486486486,0.05,0.090909091,0.285714286,0.076923077,0.714285714,0.25,0.404761905,0.333333333,0.222222222,0.339285714,1,0.774193548,0.774193548,0.053763441,0.075949367,0.101265823,0.020408163,0.078431373,0.423076923,0.454545455,0.222222222,0.395348837,0,0.063829787,0.379310345,0.18,0.285714286,0.150684932,0.111111111,0.333333333,0.2,0.030612245,0.175879397,0.005025126,0.005025126,0.051546392,0.041237113,0.197183099,0.150684932,0.102272727,1,0.647512263
201603,0.2,0.03125,0.486486486,0.05,0.060606061,0.238095238,0.076923077,1,0.196428571,0.452380952,0.5,0.222222222,0.517857143,0.823529412,1,1,0.043010753,0.075949367,0.101265823,0.020408163,0.098039216,0.423076923,0.545454545,0.222222222,0.441860465,0,0.053191489,0.24137931,0.36,0.142857143,0.136986301,0.111111111,0.166666667,0.266666667,0.030612245,0.306532663,0.005025126,0.005025126,0.041237113,0.030927835,0.225352113,0.164383562,0.136363636,1,0.590049054
201604,0.177777778,0.015625,0.486486486,0.025,0.060606061,0.238095238,0.076923077,0.461538462,0.214285714,0.452380952,0.166666667,0.111111111,0.571428571,0.470588235,0.397849462,0.397849462,0.064516129,0.050632911,0.088607595,0.020408163,0.078431373,0.307692308,0.454545455,0.222222222,0.325581395,0,0.042553191,0.275862069,0.22,0.142857143,0.178082192,0.111111111,0.166666667,0.266666667,0.040816327,0.145728643,0.005025126,0.045226131,0.041237113,0.041237113,0.197183099,0.150684932,0.193181818,1,0.556412053
201605,0.333333333,0.046875,0.405405405,0.05,0.075757576,0.238095238,0.307692308,0.318681319,0.178571429,0.404761905,0.333333333,0.222222222,0.589285714,0.352941176,0.279569892,0.279569892,0.096774194,0.063291139,0.075949367,0.020408163,0.098039216,0.346153846,0.636363636,0.333333333,0.348837209,0,0.031914894,0.206896552,0.28,0,0.178082192,0.111111111,0.166666667,0.533333333,0.030612245,0.165829146,0.005025126,0.015075377,0.06185567,0.030927835,0.126760563,0.136986301,0.147727273,1,0.641906097
201606,0.333333333,0.203125,0.27027027,0.075,0.03030303,0.619047619,0.230769231,0.230769231,0.125,0.285714286,0.5,0.333333333,0.25,0.235294118,0.139784946,0.139784946,0.430107527,0.164556962,0.088607595,0.020408163,0.058823529,0.269230769,1,0.666666667,0.372093023,0,0.053191489,0.206896552,0.22,0,0.109589041,0.222222222,0,0.266666667,0.020408163,0.165829146,0.005025126,0.015075377,0.092783505,0.020618557,0.070422535,0.136986301,0.147727273,1,0.610371409
201607,0.422222222,0.515625,0.297297297,0.0375,0.045454545,0.333333333,0.076923077,0.307692308,0.053571429,0.214285714,0.333333333,0.333333333,0.053571429,0.176470588,0.333333333,0.333333333,0.494623656,0.151898734,0.075949367,0.020408163,0.098039216,0.269230769,0.727272727,0.222222222,0.325581395,0,0.031914894,0.103448276,0.26,0,0.02739726,0.222222222,0.166666667,0.2,0.010204082,0.236180905,0.015075377,0.015075377,0.051546392,0.030927835,0.028169014,0.082191781,0.125,0,0.519271198
201608,0.511111111,0.03125,0.405405405,0.0625,0.075757576,0.238095238,0.153846154,0.175824176,0,0.214285714,0.166666667,0.111111111,0.107142857,0.058823529,0.096774194,0.096774194,0.11827957,0.012658228,0.075949367,0.020408163,0.078431373,0.346153846,0.545454545,0.222222222,0.372093023,0,0.021276596,0.068965517,0.2,0.142857143,0.109589041,0.111111111,0,0.266666667,0.010204082,0.236180905,0.005025126,0.035175879,0.072164948,0.030927835,0.084507042,0.109589041,0.136363636,0,0.435178697
201609,0.377777778,0,0.405405405,0.05,0.045454545,0.238095238,0.076923077,0.153846154,0.160714286,0.428571429,0.166666667,0.222222222,0.321428571,0.176470588,0.075268817,0.075268817,0.258064516,0.050632911,0.113924051,0.020408163,0.078431373,0.307692308,0.545454545,0.222222222,0.325581395,0,0.042553191,0.275862069,0.2,0,0.232876712,0.111111111,0.333333333,0.2,0.030612245,0.256281407,0.005025126,0.025125628,0.092783505,0.041237113,0.211267606,0.164383562,0.159090909,0,0.468815697
201610,0.333333333,0,0.486486486,0.05,0.075757576,0.238095238,0.153846154,0.263736264,0.232142857,0.619047619,0.333333333,0.222222222,0.303571429,0.176470588,0.225806452,0.225806452,0.053763441,0.088607595,0.113924051,0.020408163,0.215686275,0.346153846,0.454545455,0.333333333,0.348837209,0,0.106382979,0.379310345,0.24,0.142857143,0.260273973,0.111111111,0.333333333,0.2,0.040816327,0.477386935,0.005025126,0.015075377,0.072164948,0.072164948,0.197183099,0.150684932,0.113636364,0,0.411352488
